"Model","Xviewer"
"BlockNumber","1"
"TraceName","CH1","CH2","CH4","CH6",
BlockSize,10010,10010,10010,10010,
Date,2026/06/30,2026/06/30,2026/06/30,2026/06/30,
Time,13:38:29.61850915,13:38:29.61850915,13:38:29.61850915,13:38:29.61850915,
VUnit,V,A,V,V,
HResolution,1.000000e-03,1.000000e-03,1.000000e-03,1.000000e-03,
HOffset,-1.000900e+01,-1.000900e+01,-1.000900e+01,-1.000900e+01,
HUnit,s,s,s,s,
,-3.333334e-002,-0.15,-1.666667e-002,-8.54375
,0.,-0.15,-1.666667e-002,-8.572917
,3.333334e-002,-0.1833333,1.666667e-002,-8.554167
,0.,-0.1833333,1.666667e-002,-8.56875
,-3.333334e-002,-0.15,-1.666667e-002,-8.527083
,0.,-0.1833333,-1.666667e-002,-8.55
,0.,-0.1833333,1.666667e-002,-8.572917
,3.333334e-002,-0.1833333,1.666667e-002,-8.54375
,0.,-0.15,1.666667e-002,-8.552083
,-3.333334e-002,-0.1833333,-1.666667e-002,-8.5625
,0.,-0.2166667,-1.666667e-002,-8.558333
,0.,-0.1833333,1.666667e-002,-8.53125
,-5.e-002,-0.1833333,1.666667e-002,-8.554167
,0.,-0.1833333,-1.666667e-002,-8.508333
,3.333334e-002,-0.15,-1.666667e-002,-8.525
,-3.333334e-002,-0.15,-1.666667e-002,-8.554167
,0.,-0.1833333,1.666667e-002,-8.56875
,-3.333334e-002,-0.25,1.666667e-002,-8.520833
,-3.333334e-002,-0.1833333,-1.666667e-002,-8.547916
,0.,-0.15,5.e-002,-8.595834
,0.,-0.1833333,-1.666667e-002,-8.55
,0.,-0.15,1.666667e-002,-8.541667
,0.,-0.1833333,-1.666667e-002,-8.55625
,0.,-0.1833333,-1.666667e-002,-8.558333
,-3.333334e-002,-0.1833333,-1.666667e-002,-8.554167
,0.,-0.15,1.666667e-002,-8.541667
,3.333334e-002,-0.15,1.666667e-002,-8.53125
,0.,-0.1833333,-1.666667e-002,-8.56875
,-3.333334e-002,-0.1833333,1.666667e-002,-8.547916
